;x
1;-0,242301868
2;-0,13239897
3;0,557235934
4;0,129308129
5;0,143165351
6;0,312551349
7;0,838261198
8;-0,814118353
9;-1,504791295
10;-0,815181089
11;0,099170985
12;-0,096438022
13;0,112630156
14;0,224156411
15;0,044170048
16;0,259957513
17;0,233653594
18;-0,203770729
19;0,032127866
20;-0,380079782
21;-0,472121055
22;0,121394063
23;0,547180536
24;0,867251969
25;1,411672039
26;0,890893482
27;0,198519498
28;0,06677331
29;0,015988311
30;0,603810803
31;-0,434579039
32;0,623574552
33;1,247437286
34;1,259294119
35;0,60129042
36;0,873200262
37;1,512827679
38;0,327238225
39;0,589676347
40;0,86679917
41;-0,145883651
42;0,109067942
43;0,064200638
44;0,792046495
45;0,239933661
46;0,942218464
47;1,098040082
48;1,382171762
49;1,167207201
50;1,129060441
51;-0,304283733
52;-0,245890126
53;0,008722214
54;0,105687756
55;0,679099497
56;1,419681518
57;1,07110378
58;1,673668108
59;0,749241055
60;0,729991832
61;-0,289610512
62;0,244435697
63;-0,246555331
64;0,68417039
65;0,619888413
66;0,317958813
67;0,804592111
68;0,865615771
69;1,403666971
70;1,403843402
71;-0,649064643
72;0,54027664
73;-0,195255959
74;0,533170218
75;-0,503291218
76;-0,400492708
77;0,358357737
78;0,384993248
79;0,923307158
80;1,586406257
81;-0,152043478
82;-0,123595738
83;0,448676555
84;0,146420573
85;-0,616630411
86;-0,605591835
87;-0,107743573
88;0,614638675
89;0,972887117
90;0,800978129
91;0,505026417
92;-0,24263406
93;-0,238229422
94;0,119044209
95;0,156428016
96;-0,417567895
97;0,27588554
98;0,00907802
99;0,894698175
100;0,279771461
