;x
1;0,560648374
2;-1,064975332
3;-0,766943467
4;-1,287768998
5;-0,974234369
6;-0,740479064
7;1,057258525
8;0,257123818
9;-0,363205212
10;-0,78982718
11;0,261566531
12;0,239585505
13;-0,118823653
14;-0,912218282
15;-1,344177255
16;-0,178369787
17;-0,221037866
18;-0,477208545
19;-0,794501832
20;-0,039925457
21;0,510356981
22;-0,09860887
23;0,333791066
24;-0,25971595
25;-0,728481361
26;-0,657978676
27;-0,478401129
28;0,61676773
29;0,793196815
30;0,45195502
31;-0,400679863
32;-0,479799184
33;-0,483514333
34;-0,348330058
35;-0,103741379
36;-0,354065874
37;-0,947514822
38;1,378912498
39;1,011247021
40;1,358087199
41;-0,442859391
42;-0,051376264
43;0,654219181
44;-0,652605572
45;0,401263347
46;0,508258971
47;0,533144478
48;1,683424453
49;1,481253596
50;0,775786794
51;-0,042909974
52;1,126985464
53;0,299013463
54;0,821326207
55;0,253032428
56;0,40571783
57;0,393140553
58;0,581326109
59;0,379985195
60;0,949428704
61;1,052001565
62;1,362837633
63;0,950994425
64;0,33840588
65;0,37798409
66;1,332799171
67;0,175631792
68;0,243468526
69;0,531803843
70;0,635342145
71;1,01558225
72;0,86764872
73;1,239716346
74;-0,073921837
75;0,677113976
76;1,876783004
77;0,434286814
78;-0,080532843
79;-0,132522407
80;-0,082418341
81;-0,120966582
82;-0,168913714
83;0,022108931
84;0,414153444
85;1,406617939
86;0,545642548
87;0,159433423
88;0,58791332
89;0,322875849
90;-0,338899427
91;-0,648490144
92;-0,048935152
93;-0,134183444
94;0,154460094
95;0,982337502
96;0,537509717
97;0,305364081
98;0,089027444
99;0,016546306
100;0,541234141
